name,url,address,location,city,cuisines,average_cost,rating,votes,online_order,book_table,rest_type,dish_liked,menu_item,listed_in_type
Bunt's Biriyani Palace,,"487, 80 Feet Road, Bank Colony, 1st Stage, Banashankari, Bangalore",Banashankari,Basavanagudi,"North Indian, South Indian, Chinese, Biryani, Seafood",400.0,3.0,213,True,False,Quick Bites,"Neer Dosa, Sea Food, Pepper Chicken",,Dine-out
Sri Ganesh Juice Junction,,"537, 1st Main, Near Bethani School, 8th Block, Koramangala 8th Block, Bangalore",Koramangala 8th Block,Koramangala 7th Block,"Beverages, Juices, Fast Food",150.0,4.1,212,True,False,Beverage Shop,"Sandwiches, Sandwich, Omelette, Cheese Maggi",,Delivery
Aaranya Restaurant,,"462, Opposite Fernhill Garden Apartments, Teachers Colony, Ring Road, HSR Layout, HSR, Bangalore",HSR,Koramangala 6th Block,"North Indian, Chinese, Mughlai",800.0,3.4,212,True,False,Casual Dining,"Murgh Makhani, Chicken Biryani, Naan, Beer, Tandoori Chicken",,Delivery
Donne Biriyani House,,"99/2A, Kothnoor Main Road, Opposite RBI Layout Bus Stop, 7th Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Biryani, Andhra",350.0,3.3,212,True,False,Quick Bites,"Biryani, Kshatriya Kebab",,Delivery
Rollin,,"4/36, Green Leaf Extension, 80 Feet Road, Koramangala 4th Block, Bangalore",Koramangala 4th Block,Koramangala 7th Block,"Continental, Pizza, Chinese",400.0,4.0,212,True,False,Quick Bites,"Pizza, Dragon Chicken, Butter Chicken, Noodles, Chicken Wings, Chicken Noodle",,Delivery
Pure & Natural,,"Near National College, 7th Block, Jayanagar, Bangalore",Jayanagar,JP Nagar,"Healthy Food, Beverages, Fast Food",500.0,3.9,212,True,False,Casual Dining,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad",,Delivery
Sai Shakti,,"56, New Gandhi Sahithya Sangh, 4th Main, 8th Cross, Malleshwaram, Bangalore",Malleshwaram,Malleshwaram,North Indian,250.0,4.0,212,False,False,Quick Bites,"Shahi Paneer, Custard, Rajma, Sweet Lassi, Protein Chapati, Biryani, Jeera Rice",,Dine-out
Keventers,,"Hi Street Mall, 11th Main Road, Opposite Vijaya P.U Collage, 4th Block, Jayanagar, Bangalore",Jayanagar,Koramangala 7th Block,"Desserts, Beverages, Ice Cream",400.0,3.9,212,True,False,"Beverage Shop, Dessert Parlor","Thick Shakes, Chocolate Hazelnut Shake, Mango Shake, Choco Hazelnut, Milk Shake, Chocolate Oreo, Strawberry Milkshake",,Delivery
Hotel Annapoorna,,"6th Cross, Gandhinagar, Majestic Area, Majestic, Bangalore",Majestic,Lavelle Road,"Andhra, Biryani",450.0,4.2,212,False,False,Quick Bites,"Chicken Biryani, Mutton Biryani, Andhra Meal, Mutton Fry, Fry Prawns, Fish Fry, Chilli Chicken",,Dine-out
KFC,,"Ground Floor, 14, HM Geneva House, Cunningham Road, Bangalore",Cunningham Road,Residency Road,"Burger, Fast Food",400.0,3.6,212,True,False,Quick Bites,"Burgers, Crispy Chicken, Chicken Zinger Burger, French Fries, Chicken Fries, Hot Wings",,Delivery
Chefeana,,"3474, Maruti Dental College Road, Dodakamanhalli, Opposite Valmark Ananda Apartment, Bannerghatta Road, Bangalore",Bannerghatta Road,Bannerghatta Road,North Indian,400.0,4.0,212,True,False,Quick Bites,"Paratha, Chole Bhature, Lassi, Thali, Paneer Parantha",,Delivery
BIB - Breakfast in the Box,,"405, 6th D Cross, Venkatpura, HSR, Bangalore",HSR,HSR,"American, Sandwich",600.0,3.8,212,True,False,Delivery,"English Breakfast, Burgers, Sandwiches, Chicken Burger, Pasta, Veg Burger, Chicken Sausages",,Delivery
Costa Coffee,,"788, HAL 2nd Stage, 12th Main, Off 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,Cafe,500.0,3.8,211,False,False,Cafe,"Cappuccino, Sausage Roll, Chicken Sandwich, Chocolate Muffin, Hot Chocolate, Hot Coffee, Americano",,Cafes
India Garden,,"22, Canara Bank Building, 3rd Cross, Surya Park Road, Electronic City, Bangalore",Electronic City,Electronic City,"North Indian, Chinese, Fast Food, Beverages",550.0,3.3,211,True,False,Casual Dining,"Tandoori Chicken, Burgers",,Dine-out
KLINX - Hilton Bangalore Embassy GolfLinks,,"Hilton Bangalore Embassy GolfLinks, Embassy Golf Links Business Park, Inner Ring Road, Domlur, Bangalore",Domlur,Old Airport Road,"European, Asian",2000.0,4.2,211,False,True,Bar,Cocktails,,Pubs and bars
New Shanthi Sagar,,"198, Opposite HDFC Bank, 2nd Stage, CMH Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,"South Indian, North Indian, Chinese, Street Food",650.0,2.8,211,False,False,Casual Dining,"Coffee, Masala Dosa, Idli, Vada, Thali",,Dine-out
Chubalas Curry And Rice,,"21, Nehru Main Road, Kammanahalli Circle, Kammanahalli, Bangalore",Kammanahalli,Kammanahalli,"Naga, Goan, Seafood, Chinese",550.0,4.0,211,True,False,Quick Bites,"Chicken Curry, Prawn Curry, Smoked Pork Thali, Momos, Pork Fry, Pork Vindaloo, Salad",,Dine-out
The Kim Chi Chef,,"2, 1st Floor, Apple City Complex, Segehalli, Whitefield, Bangalore",Whitefield,Whitefield,"Chinese, Thai, Momos",900.0,4.0,210,True,False,Casual Dining,"Noodle, Momos, Manchow Soup",,Dine-out
Sixth Avenue Cafe And Patisserie,,"44, 4th B Cross Rd, Koramangala Industrial Layout, Koramangala 5th Block, Bangalore",Koramangala 5th Block,BTM,"Cafe, Italian, Desserts",600.0,4.5,210,False,False,"Cafe, Dessert Parlor","Tea, Pasta, Chocolate Bomb, Waffles, Fries, Burgers, Chocolate Lava Cake",,Desserts
Stir Fry,,"45/3, Ground Floor, Near Mayo Hall, Residency Cross 1, Residency Road, Bangalore",Residency Road,Residency Road,"Chinese, Momos",500.0,4.0,210,False,False,Casual Dining,"Spring Roll, Chicken Lollipop, Chaap, Momos, Lamb, Chicken Manchow Soup, Hakka Noodles",,Delivery
A2B Veg - Adyar Ananda Bhavan,,"South End Road, Jayanagar, Bangalore",Jayanagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,2.8,210,True,False,Casual Dining,"Coffee, Pongal, Tea, Chaat, Vada, Idli, Masala Poori",,Dine-out
Hotel Chandrika,,"9/1, Cunningham Road, Bangalore",Cunningham Road,Residency Road,"South Indian, North Indian, Chinese, Street Food",400.0,3.8,210,True,False,Casual Dining,"Thali, Filter Coffee, Vada, Rava Idli, Masala Dosa, Stuffed Kulcha, Naan",,Delivery
Ivy,,"1616, 50 Feet Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Kumaraswamy Layout,JP Nagar,"North Indian, Chinese, Fast Food",600.0,3.8,210,True,False,Casual Dining,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken",,Delivery
Sreeraj Lassi Bar,,"196, 8th E Main, 27th Cross, 3rd Block, Suraj Plaza, Jayanagar, Bangalore",Jayanagar,Jayanagar,"Beverages, Desserts",150.0,4.1,210,True,False,"Dessert Parlor, Beverage Shop","Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",,Desserts
Fazzito Kitchen,,"236, BBMP 62, 9th Main Road, Seethappa Colony, Thippasandra, Bangalore",Thippasandra,Indiranagar,North Indian,700.0,3.8,210,False,False,Casual Dining,"Tandoori Chaap, Rice, Tandoori Chicken, Tandoori Platter",,Delivery
Hind Ka Chulah,,"4th Floor, Food Court, Soul Space Arena, Doddanekundi, Marathahalli, Bangalore",Marathahalli,Marathahalli,"North Indian, Biryani",600.0,3.7,210,True,False,Food Court,"Biryani, Tandoori Chicken, Tandoori Roti, Chicken Tikka, Paratha, Salad, Raita",,Delivery
7 Plates,,"12, Rahmathnagar Bus Stop, RT Nagar, Bangalore",RT Nagar,Malleshwaram,"North Indian, Mughlai, Rolls, Fast Food",600.0,3.9,210,True,False,Quick Bites,"Rolls, Biryani, Chicken Tikka Roll, Chicken Manchurian",,Delivery
Kitchen Of Joy,,"2nd Floor, Above South Indian Bank, Next To BATA, Vignan Nagar, LB Shastry Nagar, Kaggadasapura, Bangalore",Kaggadasapura,Marathahalli,"Bengali, North Indian, Chinese, Rolls",500.0,3.8,210,False,False,Casual Dining,"Thali, Rolls, Rasgulla, Aloo Posto, Biryani, Mutton Kasha, Paratha",,Dine-out
Kidilum,,"125/5, Behind ITPL, Pattandur Agrahara, Whitefield, Bangalore",Whitefield,Whitefield,"Kerala, Chinese, North Indian",350.0,3.8,210,True,False,Quick Bites,"Beef Fry, Appam, Chicken Curry, Kerala Parotta, Idiyappam, Egg Curry, Biryani",,Delivery
Drunken Monkey,,"257/1, JMJ Apartments, 100 Feet Road, Stage 3, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"Beverages, Fast Food",500.0,3.9,210,True,False,"Beverage Shop, Quick Bites","Sandwiches, Thick Shakes, Nutella Shake, Sandwich, Coffee, Choco Almond",,Delivery
Swad,,"Service Road, Near Pruthvi Theatre, Manyata Tech Park, Nagawara, Bangalore",Nagawara,Kammanahalli,"North Indian, Chinese",400.0,2.6,210,False,False,Quick Bites,"Roti, Paratha, Biryani, Thali",,Delivery
Atta Galata,,"134, KHB Colony, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Bakery, Beverages",200.0,4.1,210,False,False,Quick Bites,"Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries",,Dine-out
Biriyani Paradise,,"4/3, 12th Main, 4th Cross, M.S. Ramaiah College Road, Mathikere, New BEL Road, Bangalore",Yeshwantpur,Malleshwaram,"Kerala, Biryani, North Indian, Chettinad",450.0,3.3,210,True,False,Quick Bites,"Beef Biryani, Paratha, Fish Curry, Chicken Biryani, Fish Fry",,Delivery
Frozen Bottle,,"5, 6, 7 SJR Equinox Retail, Opposite Velankani Gate 3, Phase I, Electronic City, Bengaluru",Electronic City,Electronic City,"Beverages, Desserts",400.0,4.1,209,True,False,"Beverage Shop, Dessert Parlor","Chips, Ferrero Rocher, Vanilla Ice Cream",,Desserts
Subway,,"420, 4th Cross, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,"Healthy Food, Sandwich, Salad",500.0,4.0,209,True,False,Quick Bites,"Sandwich, Salads, Sandwiches, Salad, Chicken Tikka",,Dine-out
Dande's Hyderabad Biryani,,"5, 17th Main, 5th Cross, Behind Vijaya Enclave, Kodichickenahalli Road, Vijaya Bank Layout, Billekahalli, Bannerghatta Road, Bangalore",Bannerghatta Road,JP Nagar,"Biryani, Andhra, North Indian",700.0,3.8,209,True,False,Casual Dining,"Chicken Boneless Biryani, Lemon Chicken, Dum Biryani",,Delivery
Chai Point,,"525/2, Opposite Lacasa, 10th Main, 33rd Cross, 4th Block, Jayanagar, Bangalore",Jayanagar,JP Nagar,"Tea, Beverages, Fast Food",250.0,3.2,209,True,False,"Beverage Shop, Quick Bites","Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut",,Delivery
Absolute Chinese,,"534, 1st Floor, 2nd Stage, Rajajinagar, Bangalore",Rajajinagar,Malleshwaram,"Chinese, Fast Food, Momos",450.0,3.8,209,True,False,Quick Bites,"Momos, Noodles, Fish, Spring Roll, Chicken Noodle, Hunan Chicken, Chicken Momo",,Dine-out
Biggies Burger 'n' More,,"2, 17th Main, 1st Stage, BTM, Bangalore",BTM,Koramangala 5th Block,"Cafe, Burger, Fast Food",400.0,3.8,209,False,False,"Cafe, Quick Bites","Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger",,Delivery
Al-Bek,,"1260, SY 35/4, SJR Towers, 24th Main Puttanhalli, 7th Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Biryani, North Indian, Charcoal Chicken, Chinese, Seafood, Rolls",300.0,3.6,209,True,False,"Takeaway, Delivery","Chicken Grill, Biryani",,Delivery
Woody's,,"45/1-1, 100 Feet Road, 2nd Phase, JP Nagar, Bangalore",JP Nagar,BTM,"Chinese, South Indian, North Indian",650.0,2.6,208,True,False,Casual Dining,"Curd Rice, Pongal, Coffee, Thali, Noodles, Pav Bhaji, Masala Dosa",,Delivery
Milano Ice Cream,,"7, 9th Main, 5th Block, Jayanagar, Bangalore",Jayanagar,JP Nagar,"Ice Cream, Desserts",400.0,4.5,208,False,False,Dessert Parlor,"Chocolate Sundae, Gelato Ice Cream, Tiramisu, Chocolate Truffle, Coffee",,Desserts
Shanthi Sagar,,"9/1, Tank Road, Ulsoor, Bangalore",Ulsoor,Residency Road,"South Indian, North Indian, Chinese, Juices",250.0,4.0,208,True,False,Quick Bites,"Coffee, Roti, Vada Pav",,Delivery
Pizza Hut,,"S 27/28, 2nd Floor, Phoenix Market City, Whitefield, Bangalore",Whitefield,Whitefield,"Pizza, Fast Food",750.0,4.0,208,True,False,Casual Dining,"Pasta, Garlic Bread, Supreme Pizza, Paneer Pizza",,Dine-out
Mavalli Tiffin Room (MTR),,"414A, 7th Main Road, HRBR Layout 1st Block, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,South Indian,250.0,4.1,208,False,False,Quick Bites,"Coffee, Rava Idli, Kesari Bath, Rava Masala Dosa, Thali, Badam Halwa, Vada",,Dine-out
Shaap,,"487, Opposite Krishna Temple, JNC Road, 1st A Cross, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Kerala, Seafood",500.0,3.6,207,True,False,Casual Dining,"Appam, Kappa Biryani, Chicken Fry, Kallappam, Buttermilk, Beef Fry, Paratha",,Delivery
Bun Town,,"458, 2nd Main Road, Mico Layout, Stage 1, BTM, Bangalore",BTM,BTM,"Cafe, Bakery",500.0,4.0,207,True,False,"Cafe, Bakery","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Donut, Brownie",,Desserts
Narmadha's Hyderabad Biriyani,,"1, Near Water Tank, 1st Stage, BTM, Bangalore",BTM,Koramangala 7th Block,"Biryani, Hyderabadi",600.0,3.9,207,False,False,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Vegetable Biryani",,Dine-out
Kabab Korner,,"22, Opposite SBI Bank, St. Marks Road, Bangalore",St. Marks Road,Residency Road,"North Indian, Chinese, Fast Food",650.0,3.9,207,True,False,Casual Dining,"Rolls, Chilli Chicken, Biryani, Seekh Kebab, Naan, Rumali Roti, Burgers",,Dine-out
Chikkanna Tiffin Room,,"Near Ulsoor Gate Police Station, Cubbonpet, City Market, Bangalore",City Market,Residency Road,South Indian,200.0,4.5,207,False,False,Quick Bites,"Masala Dosa, Khali Dosa, Kali Dosa, Gini Dosa, Idli, Potato Masala, Coffee",,Dine-out
Mealer.in,,"175-176, Dollars Colony, Phase 4, JP Nagar, Bangalore",JP Nagar,Jayanagar,"North Indian, Biryani",450.0,4.0,207,True,False,Delivery,"Rajma, Dal Makhani, Kadhi Chawal, Dal Tadka",,Delivery
OKO - The Lalit Ashok Bangalore,,"The LaLiT Ashok, Kumara Krupa Road, Highgrounds, Seshadripuram, Bangalore",Seshadripuram,Malleshwaram,"Japanese, Asian",2200.0,4.0,207,False,True,Fine Dining,"Spring Roll, Sushi, Noodles, Rolls, Wine, Fish, Sea Food",,Dine-out
Chung's Chinese Corner,,"13, 106, West Minster Building, Cunningham Road, Bangalore",Cunningham Road,Residency Road,"Chinese, Asian, American, Seafood",600.0,3.4,207,True,False,Casual Dining,"Noodles, Honey Chilli Chicken, Crispy Chilli Chicken",,Delivery
Cheesiano Pizza,,"16, 17, 18/2 Sarakki Lake, 24th Main, 6th Phase, JP Nagar, Bangalore",JP Nagar,Jayanagar,"Pizza, Italian",700.0,4.0,206,True,True,Quick Bites,"Pasta, Fries, Cheesiano Pizza, Veggie Pizza, Cheesy Garlic Bread, Peri Peri Paneer Pizza",,Delivery
The Punjabi Rasoi,,"Above Star Supermarket, VGR Essor, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,North Indian,800.0,3.8,206,True,True,Casual Dining,"Panneer Butter Masala, Kulcha, Paneer Methi Malai, Kadhai Paneer, Tangdi Kabab, Roti, Dal Makhani",,Dine-out
Dakshin Flavors,,"2nd Main, Muneshwara Layout, Vinayaka Nagar, Kudlu Gate, HSR, Bangalore",HSR,HSR,"South Indian, North Indian",600.0,3.0,206,True,False,Casual Dining,,,Delivery
Pop Hop,,"68, 10th Main Road, 36th Cross, 5th Block, Jayanagar, Bangalore",Jayanagar,Koramangala 7th Block,"Ice Cream, Desserts",300.0,4.1,206,True,False,Dessert Parlor,"Choco Hazelnut, Belgian Chocolate, Strawberry Sorbet, Mango Sorbet, Mango Cheesecake, Mojito, Belgium Chocolate",,Delivery
Faasos,,"G-06, The Arcade Shopping Centre, Brigade Metropolis, ITPL Main Road, Whitefield, Bangalore",Whitefield,Whitefield,"North Indian, Biryani, Fast Food",500.0,4.0,206,True,False,Quick Bites,"Cheesy Chicken Wrap, Veggie Wrap, Chicken Rice Feast, Chicken Biryani, Paratha, Paneer Wrap, Rolls",,Delivery
Biggies Burger 'n' More,,"114, Kothanur Main Road, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,"Cafe, Burger, Beverages",650.0,4.1,206,True,False,"Quick Bites, Cafe","Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges",,Delivery
Lakshmi Natraja Refreshments,,"126, Behind Kalamma Temple, Nagarpet, Near Majestic, Majestic, Bangalore",Majestic,Lavelle Road,South Indian,150.0,4.3,206,False,False,Quick Bites,"Podi Masala Dosa, Crispy Masala Dosa, Idli, Vada, Coffee, Paper Plain Dosa, Aloo Palya",,Dine-out
The Chocolate Room,,"808, 19th Main, 2nd Sector, HSR, Bangalore",HSR,Koramangala 4th Block,"Cafe, Bakery, Fast Food, Desserts",600.0,3.9,206,True,False,"Cafe, Bakery","Waffles, Hot Chocolate, Coffee, Pancakes, Brownie, Pizza, Sandwiches",,Delivery
Apsara Ice Cream,,"100/1B, 10th Cross, 2nd Main, Indiranagar, Bangalore",Indiranagar,Indiranagar,"Ice Cream, Desserts",200.0,4.6,206,False,False,Dessert Parlor,"Panipuri, Faluda, Guava Ice Cream, Kulfi, Belgian Chocolate, Coffee, Masala Chai",,Delivery
Manasa Fishland,,"80 Feet Road, Subbianaipalya, Opposite Patil Public School, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,"Seafood, South Indian, North Indian",650.0,4.1,206,True,False,Casual Dining,"Sea Food, Prawn Ghee Roast, Fish Curry, Murgh Ghee Roast, Neer Dosa, Biryani, Chicken Thali",,Dine-out
Kollapuri's,,"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore",Basavanagudi,Banashankari,"South Indian, Mangalorean",450.0,3.9,206,False,False,Quick Bites,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",,Delivery
Chef Baker's,,"69, 19th Main, Sector 1, HSR Layout, HSR, Bangalore",HSR,Koramangala 4th Block,"Continental, Cafe, Desserts, Italian, Bakery",600.0,3.8,206,True,False,"Bakery, Cafe","Burgers, Pizza, Peri Peri Chicken Burger, Sandwiches, Pasta, Sandwich, Potato Wedges",,Delivery
Tapri By The Corner,,"70/1, 4th Cross, 17B Main Road, KHB Block, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 4th Block,Fast Food,250.0,4.1,205,True,False,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",,Dine-out
KFC,,"E1, Beach Block, 1st Floor, Food Court, Manyata Tech Park, Nagawara, Bangalore",Nagawara,Kalyan Nagar,"Burger, Fast Food",400.0,3.7,205,True,False,Food Court,"Burgers, Zinger Burger, Ginger Chicken",,Delivery
Kakaji,,"Ring Road, Opposite EMC Square, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560037, India, Brookefield, Bangalore",Marathahalli,Marathahalli,North Indian,350.0,3.7,205,True,False,Quick Bites,"Thali, Lassi, Rice, Chole Bhature, Paratha, Dal Makhani, Dal Tadka",,Delivery
Amrutha Grand Restaurant,,"9/1A, Ground Floor, Sidda Reddy Elite, Kasavanahalli Main Road, Sarjapur Road, Bangalore",Sarjapur Road,Sarjapur Road,"North Indian, Biryani, Chinese",500.0,3.2,205,True,False,Casual Dining,"Malai Kofta, Chicken Boneless Biryani, Naan, Sweet Corn Soup, Noodles, Thali, Hyderabadi Dum Biryani",,Delivery
Punjabi Kitchen,,"Beside Reliance Fresh, Whitefield Main Road, Bangalore, Whitefield, Bangalore",Whitefield,Whitefield,"Chinese, North Indian",400.0,3.6,205,True,False,Quick Bites,"Butter Naan, Kulcha, Paratha, Butter Chicken, Shawarma, Roti, Thali",,Delivery
Yuan Restaurant,,"2&3, Renu Arcade, 1st Stage, 2nd Block, 80 Feet Road, HBR Layout, Bangalore",HBR Layout,Kammanahalli,"Chinese, Momos",600.0,3.7,205,True,False,Casual Dining,"Momos, Manchow Soup, Dragon Noodles, Spring Roll, Schezwan Fried Rice, Triple Schezwan Rice, Garlic Butter Noodle",,Dine-out
Swing,,"765, 5th Floor, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Old Airport Road,"North Indian, Chinese, Mangalorean",1000.0,3.8,205,False,True,"Casual Dining, Bar","Chicken Wings, Murgh Ghee Roast, Paneer Tikka",,Dine-out
Faasos,,"282, 1st Main Road, D Block, Sahakara Nagar, Bangalore",Sahakara Nagar,New BEL Road,"North Indian, Biryani, Fast Food",500.0,3.8,204,True,False,Delivery,"Rolls, Sabudana Vada, Chicken Wrap, Meatballs, Chicken Overload, Biryani, Veggie Wrap",,Delivery
Biriyani House,,"66, 10th Main Road, 100 Feet Road, Banaswadi, Bangalore",Banaswadi,Kammanahalli,"Andhra, North Indian, Biryani, Beverages",600.0,3.8,204,True,False,Casual Dining,"Biryani, Chicken Guntur",,Dine-out
Pizza Hut,,"8, Arikere Gate, Bannerghatta Road, Bangalore",Bannerghatta Road,Bannerghatta Road,Pizza,750.0,2.4,204,True,False,Quick Bites,"Pizza, Garlic Bread, Veg Supreme",,Dine-out
Hungry Paunch,,"80 Feet Road,Eat Street, Opposite Indian Oil Petrol Pump, Koramangala 6th Block, Bangalore",Koramangala 6th Block,Koramangala 7th Block,"Bengali, Bihari",350.0,4.0,203,False,False,"Food Court, Quick Bites","Luchi, Mutton Kosha, Mutton Curry, Roti, Fish Finger, Chicken Curry",,Delivery
Parika Multicuisine Restaurant,,"Hotel Ramanashree, 16, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",Richmond Road,Brigade Road,"North Indian, Chinese, Mughlai",1200.0,3.8,203,True,True,Casual Dining,"Tandoori Chicken, Kheer, Chicken Tikka, Butter Naan, Sweet Lassi, Caramel Custard, Panipuri",,Dine-out
Nouvelle Garden,,"The Ambient Turret, 35/A, 1st Main Road, 3rd Phase, JP Nagar, Bangalore",JP Nagar,JP Nagar,"North Indian, Continental, Italian",900.0,3.7,203,False,False,Casual Dining,"Tiramisu, Pasta, Salads, Gulab Jamun, Butter Naan, Biryani, Chicken Soup",,Buffet
Vyanjan,,"744, 13th Main, 7th Cross, BTM 2nd Stage, BTM, Bangalore",BTM,JP Nagar,"North Indian, Street Food",300.0,3.9,203,True,False,Quick Bites,"Poha, Jalebi, Paratha, Bhindi Masala, Kachori, Puri Sabzi, Samosa",,Delivery
Vera Italiano,,"2nd Floor, 5M-402/A, HRBR 2nd Block, 5th Main Road, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,Italian,600.0,4.1,203,True,False,Casual Dining,"Pizza, Pasta, Tiramisu, Cheesecake, Tomato Soup, Carbonara, Chicken Lasagne",,Dine-out
Udupi Grand,,"73, Vishweshwariah Industrial Area, Graphite India Road, Whitefield, Bangalore",Whitefield,Whitefield,"South Indian, North Indian, Chinese",450.0,2.9,203,False,False,Quick Bites,"Filter Coffee, Idli, Vada, Masala Dosa, Tea, Pongal, Plain Dosa",,Dine-out
Punjabi Tadka,,"92/3, Next to Home Town, Outer Ring Road, Marathahalli, Bangalore",Marathahalli,Marathahalli,"North Indian, Chinese",400.0,2.3,203,False,False,Casual Dining,"Lassi, Tandoori Chicken, Dal Fry, Palak Paneer, Aloo Paratha, Garlic Naan, Butter Chicken",,Delivery
Gowdru Hotel,,"23, Opposite Aishwarya Bar, Appareddy Palya, Double Road, Indiranagar, Bangalore",Indiranagar,MG Road,South Indian,400.0,3.9,203,True,False,Quick Bites,"Mutton Chops, Mutton Fry, Brain Fry, Mutton Masala, Mutton Curry, Donne Biryani, Chicken Curry",,Delivery
Have More,,"306, Ground Floor, HRBR Layout, Hennur Main Road, Kammanhalli Bangalore, Kammanahalli, Bangalore",Kammanahalli,Kammanahalli,North Indian,700.0,3.9,203,False,True,Casual Dining,"Lassi, Tandoori Chicken, Paratha, Punjabi Chicken, Aloo Tikki, Butter Chicken, Aam Panna",,Dine-out
Mojo Pizza - 2X Toppings,,"Lower Ground Floor, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",Indiranagar,Indiranagar,Pizza,600.0,4.3,203,True,False,"Takeaway, Delivery","Garlic Bread, Chocolava Cake, Chicken Pizza",,Delivery
North Indian Bhukkads,,"2, Sri Dhatri Nivas, 3rd Floor, Opposite Manyata Tech Park, Outer Ring Road, Nagawara, Bangalore",Nagawara,Kalyan Nagar,"North Indian, Biryani, Chinese, Street Food",450.0,4.0,202,True,True,Quick Bites,"Lassi, Thali, Biryani, Pav Bhaji, Chole Bhature, Gulab Jamun, Veg Kolhapuri",,Delivery
Hi Seoul,,"309, 7th Main Road, HRBR Layout, 2nd Block, Kalyan Nagar, Bangalore",Kalyan Nagar,Kammanahalli,Korean,800.0,4.1,202,True,False,Casual Dining,"Coffee, Momos, Kimchi, Bbq Pork, Hot Pot, Wine, Bibimbap",,Dine-out
Desi Vdesi,,"48, Triump Tower, Church Street, Bangalore",Church Street,Church Street,"Fast Food, North Indian, Rolls",250.0,3.9,202,True,False,Quick Bites,"Paratha, Momos, Lassi, Sandwiches, Burgers, Nachos, Potato Wedges",,Delivery
Punjabi Corner,,"13/11, 1A, BVN Building, Arekere Main Road, Bannerghatta Road, Bangalore",Bannerghatta Road,JP Nagar,"North Indian, Chinese",250.0,3.9,202,True,False,Quick Bites,"Paratha, Chicken Curry",,Delivery
Keep It Straight Cafe,,"19th Main Road, Vanganahalli, 1st Sector, HSR, Bangalore",HSR,BTM,"Cafe, North Indian, Fast Food",500.0,3.9,202,True,True,Cafe,"Coffee, Tea, Pasta Alfredo, Chai, Burgers, White Sauce Pasta, French Fries",,Delivery
Dakshin - ITC Windsor,,"ITC Windsor, 25 Windsor Square, Sankey Road, Bangalore",Sankey Road,Malleshwaram,South Indian,4000.0,4.3,202,False,True,Fine Dining,"Appam, Prawn, Vegetable Stew, Fish, Banana Dosa, Veg Thali, Paratha",,Dine-out
Special Biryani House,,"107, Praveen Transport Complex, ITPL Back Gate 3, Whitefield, Bangalore",Whitefield,Whitefield,"North Indian, Biryani, Chinese",400.0,3.2,202,True,False,,,,Dine-out
Cafemoto,,"12/3 JR Complex, Opposite Traffic Police Station, Nanjappa Layout, Koramangala 5th Block, Bangalore",Koramangala 5th Block,Koramangala 7th Block,"Cafe, Continental, Italian, Burger",800.0,4.0,202,True,False,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta",,Dine-out
